States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Arkansas,Pulaski County,"392,848","11,309","12,245","100,753","108,118","66,938","73,914",341,382,"3,872","4,286",44,42,"10,604"
Arkansas,Randolph County,"17,514",160,164,"8,230","8,406",74,81,48,46,0,0,0,0,305
Arkansas,Saline County,"116,252","2,523","2,639","49,221","50,575","3,611","3,793",160,159,624,646,64,59,"2,178"
Arkansas,Scott County,"10,584",394,399,"4,470","4,465",10,10,69,70,185,187,0,0,325
Arkansas,Searcy County,"7,925",85,85,"3,767","3,635",7,7,40,38,51,50,0,0,160
Arkansas,Sebastian County,"127,362","8,663","8,815","43,616","46,056","4,195","4,315",713,725,"2,659","2,806",10,11,"4,778"
Arkansas,Sevier County,"17,206","2,816","2,839","5,036","4,997",410,412,135,136,32,31,22,21,319
Arkansas,Sharp County,"17,041",177,186,"7,826","8,164",32,34,39,43,34,33,0,0,473
Arkansas,St. Francis County,"26,688",443,255,"5,785","4,988","8,167","6,588",40,23,74,62,0,0,263
Arkansas,Stone County,"12,443",115,112,"5,927","5,884",3,3,41,36,5,5,0,0,312
Arkansas,Union County,"40,022",733,773,"11,952","12,484","6,277","6,797",156,167,99,111,0,0,473
Arkansas,Van Buren County,"16,751",242,243,"7,824","7,864",30,29,51,47,10,11,0,0,400
Arkansas,Washington County,"223,683","18,550","18,219","80,134","80,699","3,827","3,766",827,832,"2,704","2,630","2,280","2,181","7,034"
Arkansas,White County,"78,706","1,645","1,643","34,157","35,429","1,519","1,607",94,87,248,272,8,14,"1,983"
Arkansas,Woodruff County,"6,763",14,16,"2,187","2,492",901,955,0,0,44,55,3,4,92
Arkansas,Yell County,"21,601","2,097","2,162","8,117","8,204",209,216,82,84,153,149,0,0,128
California,Alameda County,"1,629,615","180,862","185,832","256,008","268,518","85,366","89,393","2,345","2,388","230,577","237,404","6,276","6,531","78,115"
California,Alpine County,"1,203",64,52,428,348,9,8,136,111,4,3,0,0,40
California,Amador County,"37,306","2,907","2,029","15,378","14,182",617,139,153,105,289,265,40,37,"1,165"
California,Butte County,"225,207","17,629","17,765","81,178","82,970","1,629","1,619",794,802,"4,874","4,931",173,175,"10,668"
California,Calaveras County,"45,057","2,550","2,607","18,236","18,676",127,123,189,200,262,253,107,98,"1,629"
California,Colusa County,"21,479","6,528","6,006","4,026","3,770",95,88,119,108,173,150,7,7,402
California,Contra Costa County,"1,123,678","139,749","144,005","245,241","259,376","45,121","47,848","1,238","1,296","86,828","90,524","2,502","2,585","57,365"
California,Del Norte County,"27,442","3,049","2,225","9,225","8,002",324,161,"1,081",877,389,352,11,6,"1,740"
California,El Dorado County,"185,015","11,692","11,553","72,309","72,795",792,780,509,514,"3,877","3,904",153,162,"5,975"
California,Fresno County,"971,616","256,029","253,245","144,913","148,604","22,367","22,693","2,085","1,998","47,356","48,594",647,632,"22,453"
California,Glenn County,"27,935","5,831","5,577","7,437","7,221",104,104,240,227,364,356,41,36,397
California,Humboldt County,"135,490","7,407","7,552","50,621","50,812",692,679,"3,041","3,138","1,909","1,953",170,189,"7,327"
California,Imperial County,"179,957","75,644","74,450","10,697","9,648","2,752","1,319",568,507,"1,172","1,059",69,70,"2,002"
California,Inyo County,"18,195","1,950","1,937","5,872","5,675",89,79,944,"1,004",128,135,15,16,351
California,Kern County,"878,744","235,315","223,489","157,712","152,781","24,334","20,579","2,161","1,993","20,088","19,575",569,423,"19,725"
California,Kings County,"150,183","44,372","36,308","26,849","22,850","5,766","3,122",708,475,"2,868","2,581",186,144,"3,954"
California,Lake County,"64,095","6,111","6,328","22,833","23,110",684,667,"1,008","1,021",435,465,14,14,"1,405"
California,Lassen County,"31,470","4,757","1,061","12,328","8,469","2,327",375,559,345,350,99,120,94,586
California,Los Angeles County,"10,105,722","2,422,825","2,468,401","1,314,894","1,359,869","387,053","410,455","9,520","9,698","705,658","734,724","11,970","12,428","258,227"
California,Madera County,"154,440","42,873","44,958","25,899","28,233","2,121","2,597",763,863,"1,453","1,569",81,97,"2,933"
California,Marin County,"260,814","20,992","20,351","89,759","96,572","3,011","2,407",213,169,"7,144","7,550",156,129,"12,361"
California,Mariposa County,"17,658",931,934,"7,181","7,121",109,100,205,204,90,73,26,27,657
